Film,Year,IMDB LINK,Location Display Text,Image File Name,Agency Credit,Artist Credit,Director/Filmmaker Name,Director/Filmmaker IMDB Link
*batteries not included,1987,http://imdb.com/title/tt0092494/,E. 5th St. East Village Manhattan,batteriesnotincluded_pf,Courtesy of Photofest,Directed by,Matthew Robbins,http://imdb.com/name/nm0730422/
12 Angry Men,1957,http://imdb.com/title/tt0050083/,New York County Courthouse 40 Foley Square Lower Manhattan,12AngryMen_pf,Courtesy of Photofest,Directed by,Sidney Lumet,http://imdb.com/name/nm0001486/
13 Going on 30,2004,http://www.imdb.com/title/tt0337563/,W. 47th St. and Seventh Ave. Times Square Manhattan,13Goingon30_ec,"Courtesy of Everett Collection, Inc.",Directed by,Gary Winick,http://imdb.com/name/nm0935095/
15 Minutes,2001,http://www.imdb.com/title/tt0179626/,E. 60-66th St. and Madison Ave. Upper East Side Manhattan,,,Directed by,John Herzfeld,http://imdb.com/name/nm0381273/
25th Hour,2002,http://www.imdb.com/title/tt0307901/,World Trade Center Lower Manhattan,25thHour1_pf,Courtesy of Photofest,Directed by,Spike Lee,http://www.imdb.com/name/nm0000490/
25th Hour,2002,http://www.imdb.com/title/tt0307901/,Carl Schurz Park Upper East Side Manhattan,25thHour2_pf,Courtesy of Photofest,Directed by,Spike Lee,http://www.imdb.com/name/nm0000490/
A Perfect Murder,1998,http://www.imdb.com/title/tt0120787/,Long Island City,,,Directed by,Andrew Davis,http://imdb.com/name/nm0001112/
A Thousand Clowns,1965,http://www.imdb.com/title/tt0059798/,Statue of Liberty Liberty Island New York Harbor,AThousandClowns_pf,Courtesy of Photofest,Directed by,Fred Coe,http://imdb.com/name/nm0168641/
Across the Sea of Time,1997,http://imdb.com/title/tt0112286/,New York Harbor,AcrossTheSeaOfTime_pf,Courtesy of Photofest,Directed by,Stephen Low,http://imdb.com/name/nm0522844/
After Hours,1985,http://www.imdb.com/title/tt0088680/,Mercer and Grand SoHo Manhattan,,,Directed by,Martin Scorsese,http://imdb.com/name/nm0000217/
Alice,1990,http://www.imdb.com/title/tt0099012/,E. 95th St. off Madison Ave. Upper East Side Manhattan,,,Directed by,Woody Allen,http://www.imdb.com/name/nm0000095/
American Psycho,2000,http://www.imdb.com/title/tt0144084/,Chinatown Manhattan,AmericanPyscho_ec,"Courtesy of Everett Collection, Inc.",Directed by,Mary Harron,http://www.imdb.com/name/nm0366004/
An Unmarried Woman,1978,http://www.imdb.com/title/tt0078444/,Mercer St. between Spring and Broome SoHo Manhattan,,,Directed by,Paul Mazursky,http://imdb.com/name/nm0005196/
Annie Hall,1977,http://www.imdb.com/title/tt0075686/,Coney Island Brooklyn,AnnieHall2_pf,Courtesy of Photofest,Directed by,Woody Allen,http://www.imdb.com/name/nm0000095/
Annie Hall,1977,http://www.imdb.com/title/tt0075686/,Pier 11 Manhattan,AnnieHall2_pf,Courtesy of Photofest,Directed by,Woody Allen,http://www.imdb.com/name/nm0000095/
Annie Hall,1977,http://www.imdb.com/title/tt0075686/,Foot of 59th St. Bridge Upper East Side Manhattan,AnnieHall2_pf,Courtesy of Photofest,Directed by,Woody Allen,http://www.imdb.com/name/nm0000095/
Annie Hall,1977,http://www.imdb.com/title/tt0075686/,E. 68th St. between Park Ave. and Madison Ave. Upper East Side Manhattan,AnnieHall2_pf,Courtesy of Photofest,Directed by,Woody Allen,http://www.imdb.com/name/nm0000095/
